cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,IPC,CPI
1994520478,3361247539,18474656,9117934,35246892,59838320,1254497,1599698,18828224,287259,211341,403591,13196970,3254720,20175924,1.69,0.593386966
1999201553,3589865301,14026796,9074209,33571657,59793870,1175092,1980450,15766505,258738,241669,453645,11073399,4470285,17523022,1.8,0.556901551
2265417850,3584939166,19003805,10605951,38080241,62987632,1219067,1244761,18023974,298214,281076,467183,13186692,4816340,20739242,1.58,0.631926441
2196409326,3437890708,23582782,7553763,36891804,57670330,817615,1013120,23930192,251196,126193,420936,16549843,3901319,23594589,1.57,0.638882825
2093145019,3679019153,19277251,8063424,36363911,55683867,1204917,1773676,18842673,297781,169644,314225,8868295,3887193,16234229,1.76,0.56894105
2164371919,3678732033,16526692,8876071,33050063,64128799,1316928,1567533,17776701,320522,179938,478611,17901484,4182023,20062601,1.7,0.588347262
2171420085,3473694489,21744911,7935728,36527318,57751478,1261963,1233583,20184123,349066,163425,456799,19922678,4233857,24174025,1.6,0.625103932
2279871370,3562864098,22280307,8667386,38035825,57370501,998106,1088719,21316636,281021,137467,401371,13877106,3769567,18542402,1.56,0.639898494
1954899599,3237645864,17680511,8302127,34335738,51564689,908012,899085,19921304,299979,112521,409544,16983393,3549271,21183762,1.66,0.603802788
2105734846,3237067132,19838929,8766271,32661761,52575887,1079106,1256872,18118065,254188,168160,360438,15728034,3212988,19420266,1.54,0.650507005
2038807949,3426174689,15678228,9733466,31469277,53333593,1275987,1628272,15375170,309909,228611,406587,12302860,4500968,16850959,1.68,0.5950683
1876708010,2897067302,15699354,9458134,31326153,55562093,1129105,1572260,14710012,267937,214854,340740,12773307,3275908,17618201,1.54,0.647795793
2161969325,3636622335,16700487,10876977,31266487,58681930,1666743,1613156,17472635,374688,226280,372368,12429360,4390948,20196204,1.68,0.59449927
2118003309,3669658737,15999706,10267483,34642214,56912458,1425427,1520264,16976182,298993,151057,353480,11957749,3866771,17680842,1.73,0.577166287
2279054523,3622245370,20172180,8269474,37540697,64726066,980262,932494,22883424,334005,173396,377725,13613732,5045478,25906603,1.59,0.629182811
2135388171,3412073076,20203500,8794217,29350687,66215763,1196468,1508257,18454742,337747,129170,375723,14938335,4201383,24055009,1.6,0.625833071
2073930362,3514805737,20433245,7920500,37973155,53240425,970609,1140722,21263700,353704,209005,407981,14158980,4480636,20363335,1.69,0.590055473
2183795164,3550384159,21322531,8297006,36507023,53642298,1156234,1176520,22237101,297659,227385,322692,10915105,3601002,20370775,1.63,0.615087006
2230700976,3594175356,22728044,7723011,39452760,48679932,715954,988367,20397907,265380,148800,397205,14320606,4763164,20484560,1.61,0.620643334
1856597209,3374657367,19895019,7499534,41091169,44511452,1149607,1384768,20060662,317878,169920,288034,9969508,4156761,13691934,1.82,0.550158729
2152157561,3730084604,17510674,8223336,38180854,50473271,1190895,1670406,17761697,263609,184214,425852,14651261,4377904,17744363,1.73,0.576972854
2151762690,3522644194,19177822,8014165,37284385,63787164,979235,1188460,21584520,283578,140671,416723,13427712,4402530,22979978,1.64,0.610837363
2082467463,3357450857,22277699,7815043,30576567,52673389,1127681,1350373,21576518,302889,183086,410758,16015660,3163852,21520808,1.61,0.620252552
1940769034,3835404149,13904731,8001146,26134582,49771053,1118551,1464064,14757733,234364,248571,262487,9062291,4384362,18530853,1.98,0.506014219
2064516845,3859338812,13701878,8354847,28303684,46237403,1694825,1661059,13090840,355302,283848,400449,7539318,5479894,15878203,1.87,0.534940555
1917064114,3387791165,12940394,9349954,28294249,38100748,1786968,1439065,16535676,332120,221978,366380,12560844,4064019,14544388,1.77,0.565874347
1928017151,3902751350,10965769,9086761,28074219,51211412,1800501,1638913,12010469,500511,197780,418214,7300778,3456478,11789880,2.02,0.494014857
1904539711,3290003717,13147020,9479914,28942858,36286711,1332780,1647600,13141753,744030,230006,367971,12776114,4102217,18636162,1.73,0.578886796
1938291703,3821214661,13780041,8382751,27992683,52105660,946806,1310253,15655042,230162,189433,329898,11249986,2948068,14621661,1.97,0.507244914
2028358517,3645611256,16075025,8357096,30701749,57788701,832277,1232016,16453668,226384,190961,359041,11980558,3994420,19580050,1.8,0.556383655
1985614284,3350192121,14916355,8275933,31196346,69172779,891364,1270372,14186380,219623,292006,318808,10076670,3931670,17170097,1.69,0.592686691
2136379575,3613269929,15434712,9310524,31888750,74987028,1101248,1466231,17788782,309991,171280,497181,16575804,4041778,21116832,1.69,0.591259335
2146932954,3420263371,18195629,9842445,34115162,59236418,1368449,1358387,16176061,280853,176219,333049,12086851,3804476,17304166,1.59,0.627709834
2223071892,3568249127,19782174,8766779,40039369,51073147,979900,951246,20234980,282526,151821,371535,15372540,4279238,18799097,1.61,0.623014765
2163532240,3613140499,21196777,9417675,44369752,42968864,1044412,1102496,20975243,269296,133356,278593,11323015,4977911,17807908,1.67,0.598795491
2012907349,3470235368,15059988,9305515,35404088,50133459,1280964,1507694,14976312,288259,231892,331311,9397043,4355070,14688898,1.72,0.580049229
2079500259,3580095397,18084700,7937258,31567612,56150840,934853,1157465,19080941,250749,240557,429774,13653538,3601877,18252363,1.72,0.580850516
2198813983,3652332302,22774386,7241838,37655746,53111716,952060,1044592,21850324,260787,127778,418736,14820644,3268981,18658630,1.66,0.602030101
2270106505,3865227912,20299576,7762486,39485319,52139907,886923,1178132,20884814,264569,175759,477133,12792735,3867354,18686655,1.7,0.587315045
2287458433,3912228289,23618923,6794172,44912270,43353516,795319,779502,22881245,249620,109163,280908,11215898,4130063,15121925,1.71,0.584694518
2024010641,3650006925,17400762,7964584,32405321,46918609,848670,1357375,16524060,260871,188824,254826,7764285,4439518,15349819,1.8,0.554522411
