cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
455265422,1592279496,2155554,105772,1156122,4530351,8303,7897,3193876,716,1300,215,16510,138583,254014,476734,35305,181928,476734,16259,46857,10929,4737205,1227,3,103962019,6952275,2876,3.497475141,0.285920545
456785427,1597937160,2237439,116080,2678652,2645079,9352,2826,2278633,6185,354,1412,73098,77006,157278,78087,6466,34048,78087,6905,16019,7699,3022544,858,0,102671819,12003314,1252,3.498222722,0.285859443
453324603,1586037300,1686150,231963,1550426,1293195,128677,12680,673463,5645,7623,761,64068,36712,89504,138788,40190,165659,138788,11420,3011,10782,4256794,1152,1694,102332906,10568978,1754,3.498679069,0.285822158
447222478,1565113951,1873548,168601,2833351,2788670,19728,4151,1654978,4980,676,626,131925,70654,230569,471062,43232,88533,471062,13656,17948,14570,2716233,1390,0,96918730,17518465,3472,3.499631678,0.285744356
456963543,1599205845,2126842,165901,2423018,3357872,10386,5520,1610142,2857,168,422,7655,114301,145168,304455,8091,18368,304455,71137,5154,81706,834287,651,2,101180724,12650425,1608,3.499635517,0.285744043
443085041,1550714417,1920693,203399,2754409,2703746,12558,4225,2031861,2109,886,90,57810,40271,116767,105624,6457,38447,105624,10690,21739,8924,2993131,1221,0,94403571,27332733,5302,3.499812166,0.28572962
453094113,1586393710,2248599,177298,2297820,3328556,12069,6388,2222150,1744,5037,511,68400,33385,111194,127224,6328,83923,127224,14887,28189,17888,3041441,2632,0,98094546,13140836,2401,3.501245469,0.285612651
431426946,1510781339,2083735,134135,2567655,2846781,8664,3847,1999315,1497,490,70,61767,44087,111614,116034,12211,36835,116034,8278,14641,7032,2773652,914,0,93936720,16895711,7324,3.501824244,0.285565445
447328321,1566485897,2182050,135263,2737015,2820806,12119,5184,2116795,1880,465,480,50000,43263,123684,106844,6720,29631,106844,8511,13816,9557,2811200,1121,0,101802672,13479214,1608,3.501870603,0.285561665
430175745,1506437204,2057849,192742,2306719,3258536,11773,6361,2183415,1683,881,95,47135,32861,108794,247273,63937,374402,247273,13687,34540,14989,2953064,2747,0,94848042,14520581,10294,3.501911071,0.285558365
453121827,1586944341,2309496,128712,2842529,3067871,9763,3610,2115877,1046,288,175,79644,58441,140146,143396,16496,39369,143396,9939,14674,12256,2893871,1045,0,100056666,15185179,3401,3.502246518,0.285531014
455413705,1595156229,2244172,117107,3067710,2637865,8761,2858,2359828,2124,420,130,69860,45338,124777,152386,8335,36127,152386,6721,28402,15795,2472612,678,0,98450685,15157910,2019,3.502653107,0.28549787
452114048,1583712349,2257888,124418,2274924,2992979,7383,3430,2322131,1152,365,70,33221,21902,136990,387048,68205,320136,387048,16239,21132,13279,2732411,1647,0,89334395,25992699,5898,3.502904535,0.285477377
448951475,1573713381,1996479,171245,2616288,2824462,9893,3674,2006254,1793,496,70,47763,33669,91401,112731,8285,42167,112731,9738,17210,10196,3028241,1114,0,92158442,19756916,4043,3.50530841,0.285281602
456921886,1601936685,2025380,259421,2354142,4164967,13795,57255,1623844,4514,4241,630,11191,100672,119023,169178,3300,10069,169178,46664,7157,58048,20194,12,0,101224848,16797224,1397,3.505931176,0.285230927
456443968,1600372345,2216557,103244,2497569,2847561,6813,3306,2230798,1457,521,110,56856,29564,116905,218741,140818,22404,218741,6925,13227,6073,2624305,970,0,101996898,10278402,1933,3.506174815,0.285211107
