cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,IPC,CPI
456800087,806046367,4726565,970526,1683704,557034,284758,134,4818778,191297,105,1898,28008,362477,394022,24087432,65506,8295,24087432,267879,1446,248392,700690,1.764549504,0.566716886
453464634,800652810,4538678,952441,1612387,900058,249212,165,4590772,158734,260,1377,18399,338859,359972,11664092,48967,3794,11664092,201589,857,212053,1109471,1.765634517,0.566368629
451383812,797234238,4297263,908802,1729165,913626,240251,735,4354067,159640,195,3105,23985,351021,370311,13791638,77755,5917,13791638,220183,1790,207398,1118135,1.766200331,0.566187189
457548236,808338260,4874946,910272,1461324,822297,239901,140,4777137,164276,175,2239,27929,386176,461257,17386239,181050,4202,17386239,264987,269,265755,785767,1.766673317,0.566035605
456217030,807316845,4522111,977263,1602968,1332398,247773,691,4599153,161933,295,1958,21200,389343,423118,13330242,74987,12423,13330242,248266,4796,257195,1376856,1.769589454,0.565102825
452303939,800435244,3612279,854650,1210654,989240,264408,1296,3837644,122655,260,756,24600,304626,332778,16205056,35872,7881,16205056,205670,2113,217496,1040584,1.769684442,0.565072493
454064618,804848462,4256633,932351,1435423,1222009,273319,1365,4390159,189524,280,1868,29658,355522,373355,22190324,54545,9054,22190324,212502,1928,240725,741332,1.772541683,0.564161627
457368188,811278622,4678836,1001751,1557223,763052,255716,147,4767331,172331,90,1452,29231,379847,405686,18988600,175961,8512,18988600,252167,538,236467,766078,1.773797661,0.56376216
457289382,811179200,4661468,903835,1501378,795835,203131,216,4599207,152382,80,2221,28390,347043,374679,12535927,70774,6587,12535927,190169,594,226579,721410,1.773885929,0.563734107
456042639,809625885,4801738,962769,1533207,677879,253458,112,4946459,147186,55,1517,25859,331626,363191,11702861,50546,5792,11702861,220472,313,234777,666265,1.775329357,0.563275764
